date,year,month,group_code,group_name,short_name,monthly_variation,source_table
2013-10-01,2013,10,6,Saúde e cuidados pessoais,Saúde,0.39,1419
2013-10-01,2013,10,7,Despesas pessoais,Pessoais,0.43,1419
2013-10-01,2013,10,8,Educação,Educação,0.09,1419
2013-10-01,2013,10,9,Comunicação,Comunicação,0.08,1419
2013-11-01,2013,11,1,Alimentação e bebidas,Alimentação,0.56,1419
2013-11-01,2013,11,2,Habitação,Habitação,0.69,1419
2013-11-01,2013,11,3,Artigos de residência,Residência,0.38,1419
2013-11-01,2013,11,4,Vestuário,Vestuário,0.85,1419
2013-11-01,2013,11,5,Transportes,Transportes,0.36,1419
2013-11-01,2013,11,6,Saúde e cuidados pessoais,Saúde,0.41,1419
2013-11-01,2013,11,7,Despesas pessoais,Pessoais,0.87,1419
2013-11-01,2013,11,8,Educação,Educação,0.08,1419
2013-11-01,2013,11,9,Comunicação,Comunicação,0.4,1419
2013-12-01,2013,12,1,Alimentação e bebidas,Alimentação,0.89,1419
2013-12-01,2013,12,2,Habitação,Habitação,0.52,1419
2013-12-01,2013,12,3,Artigos de residência,Residência,0.89,1419
2013-12-01,2013,12,4,Vestuário,Vestuário,0.8,1419
2013-12-01,2013,12,5,Transportes,Transportes,1.85,1419
2013-12-01,2013,12,6,Saúde e cuidados pessoais,Saúde,0.41,1419
2013-12-01,2013,12,7,Despesas pessoais,Pessoais,1,1419
2013-12-01,2013,12,8,Educação,Educação,0.05,1419
2013-12-01,2013,12,9,Comunicação,Comunicação,0.74,1419
2014-01-01,2014,1,1,Alimentação e bebidas,Alimentação,0.84,1419
2014-01-01,2014,1,2,Habitação,Habitação,0.55,1419
2014-01-01,2014,1,3,Artigos de residência,Residência,0.49,1419
2014-01-01,2014,1,4,Vestuário,Vestuário,-0.15,1419
2014-01-01,2014,1,5,Transportes,Transportes,-0.03,1419
2014-01-01,2014,1,6,Saúde e cuidados pessoais,Saúde,0.48,1419
2014-01-01,2014,1,7,Despesas pessoais,Pessoais,1.72,1419
2014-01-01,2014,1,8,Educação,Educação,0.57,1419
2014-01-01,2014,1,9,Comunicação,Comunicação,0.03,1419
2014-02-01,2014,2,1,Alimentação e bebidas,Alimentação,0.56,1419
2014-02-01,2014,2,2,Habitação,Habitação,0.77,1419
2014-02-01,2014,2,3,Artigos de residência,Residência,1.07,1419
2014-02-01,2014,2,4,Vestuário,Vestuário,-0.4,1419
2014-02-01,2014,2,5,Transportes,Transportes,-0.05,1419
2014-02-01,2014,2,6,Saúde e cuidados pessoais,Saúde,0.74,1419
2014-02-01,2014,2,7,Despesas pessoais,Pessoais,0.69,1419
2014-02-01,2014,2,8,Educação,Educação,5.97,1419
2014-02-01,2014,2,9,Comunicação,Comunicação,0.14,1419
2014-03-01,2014,3,1,Alimentação e bebidas,Alimentação,1.92,1419
2014-03-01,2014,3,2,Habitação,Habitação,0.33,1419
2014-03-01,2014,3,3,Artigos de residência,Residência,0.38,1419
2014-03-01,2014,3,4,Vestuário,Vestuário,0.31,1419
2014-03-01,2014,3,5,Transportes,Transportes,1.38,1419
2014-03-01,2014,3,6,Saúde e cuidados pessoais,Saúde,0.43,1419
2014-03-01,2014,3,7,Despesas pessoais,Pessoais,0.79,1419
2014-03-01,2014,3,8,Educação,Educação,0.53,1419
2014-03-01,2014,3,9,Comunicação,Comunicação,-1.26,1419
2014-04-01,2014,4,1,Alimentação e bebidas,Alimentação,1.19,1419
2014-04-01,2014,4,2,Habitação,Habitação,0.87,1419
2014-04-01,2014,4,3,Artigos de residência,Residência,0.2,1419
2014-04-01,2014,4,4,Vestuário,Vestuário,0.47,1419
2014-04-01,2014,4,5,Transportes,Transportes,0.32,1419
2014-04-01,2014,4,6,Saúde e cuidados pessoais,Saúde,1.01,1419
2014-04-01,2014,4,7,Despesas pessoais,Pessoais,0.31,1419
2014-04-01,2014,4,8,Educação,Educação,0.03,1419
2014-04-01,2014,4,9,Comunicação,Comunicação,0.02,1419
2014-05-01,2014,5,1,Alimentação e bebidas,Alimentação,0.58,1419
2014-05-01,2014,5,2,Habitação,Habitação,0.61,1419
2014-05-01,2014,5,3,Artigos de residência,Residência,1.03,1419
2014-05-01,2014,5,4,Vestuário,Vestuário,0.84,1419
2014-05-01,2014,5,5,Transportes,Transportes,-0.45,1419
2014-05-01,2014,5,6,Saúde e cuidados pessoais,Saúde,0.98,1419
2014-05-01,2014,5,7,Despesas pessoais,Pessoais,0.8,1419
2014-05-01,2014,5,8,Educação,Educação,0.13,1419
2014-05-01,2014,5,9,Comunicação,Comunicação,0.11,1419
2014-06-01,2014,6,1,Alimentação e bebidas,Alimentação,-0.11,1419
2014-06-01,2014,6,2,Habitação,Habitação,0.55,1419
2014-06-01,2014,6,3,Artigos de residência,Residência,0.38,1419
2014-06-01,2014,6,4,Vestuário,Vestuário,0.49,1419
2014-06-01,2014,6,5,Transportes,Transportes,0.37,1419
2014-06-01,2014,6,6,Saúde e cuidados pessoais,Saúde,0.6,1419
2014-06-01,2014,6,7,Despesas pessoais,Pessoais,1.57,1419
2014-06-01,2014,6,8,Educação,Educação,0.02,1419
2014-06-01,2014,6,9,Comunicação,Comunicação,-0.02,1419
2014-07-01,2014,7,1,Alimentação e bebidas,Alimentação,-0.15,1419
2014-07-01,2014,7,2,Habitação,Habitação,1.2,1419
2014-07-01,2014,7,3,Artigos de residência,Residência,0.86,1419
2014-07-01,2014,7,4,Vestuário,Vestuário,-0.24,1419
2014-07-01,2014,7,5,Transportes,Transportes,-0.98,1419
2014-07-01,2014,7,6,Saúde e cuidados pessoais,Saúde,0.5,1419
2014-07-01,2014,7,7,Despesas pessoais,Pessoais,0.12,1419
2014-07-01,2014,7,8,Educação,Educação,0.04,1419
2014-07-01,2014,7,9,Comunicação,Comunicação,-0.79,1419
2014-08-01,2014,8,1,Alimentação e bebidas,Alimentação,-0.15,1419
2014-08-01,2014,8,2,Habitação,Habitação,0.94,1419
2014-08-01,2014,8,3,Artigos de residência,Residência,0.47,1419
2014-08-01,2014,8,4,Vestuário,Vestuário,-0.15,1419
2014-08-01,2014,8,5,Transportes,Transportes,0.33,1419
2014-08-01,2014,8,6,Saúde e cuidados pessoais,Saúde,0.41,1419
2014-08-01,2014,8,7,Despesas pessoais,Pessoais,0.09,1419
2014-08-01,2014,8,8,Educação,Educação,0.43,1419
2014-08-01,2014,8,9,Comunicação,Comunicação,0.1,1419
2014-09-01,2014,9,1,Alimentação e bebidas,Alimentação,0.78,1419
2014-09-01,2014,9,2,Habitação,Habitação,0.77,1419
2014-09-01,2014,9,3,Artigos de residência,Residência,0.34,1419
2014-09-01,2014,9,4,Vestuário,Vestuário,0.57,1419
2014-09-01,2014,9,5,Transportes,Transportes,0.63,1419
2014-09-01,2014,9,6,Saúde e cuidados pessoais,Saúde,0.33,1419
2014-09-01,2014,9,7,Despesas pessoais,Pessoais,0.39,1419
2014-09-01,2014,9,8,Educação,Educação,0.18,1419
2014-09-01,2014,9,9,Comunicação,Comunicação,0.13,1419
2014-10-01,2014,10,1,Alimentação e bebidas,Alimentação,0.46,1419
2014-10-01,2014,10,2,Habitação,Habitação,0.68,1419
2014-10-01,2014,10,3,Artigos de residência,Residência,0.19,1419
2014-10-01,2014,10,4,Vestuário,Vestuário,0.62,1419
